lamb, beta, k, delta, p, c, K
-1.407025349007768877e+00,-5.387938509191780412e+00,2.602846476417233657e+00,2.199860586975773025e+00,1.101942143231777527e+00,-7.321913886442996677e-01,5.972735535321577452e+06
-1.758133936333347025e+00,-5.551664813434971535e+00,2.503816895849463542e+00,2.349896842675634367e+00,1.395863880828249748e+00,-8.393745678727251303e-01,5.972735535321577452e+06
-2.851929975802153017e+00,-5.059738245955680114e+00,2.953105113315210861e+00,2.389685519280072334e+00,1.052326923662778579e+00,-3.325144634020433809e-01,5.972735535321577452e+06
-2.497043274331031792e+00,-5.072614894425513832e+00,2.731258212995828494e+00,2.316305279044555743e+00,1.011553052246643603e+00,-2.846058022402243037e-01,5.972735535321577452e+06
-2.610917313713817745e+00,-5.149527884415386225e+00,2.739566621675612268e+00,2.323388466595668778e+00,1.082223405853626863e+00,-2.407632591851885384e-01,5.972735535321577452e+06
-2.002625348779211834e+00,-5.095575530640222617e+00,2.581138893575412041e+00,1.982313189116639229e+00,7.273928632128239258e-01,-3.408186211249047970e-01,5.972735535321577452e+06
-1.774113813688607877e+00,-5.038398785348338293e+00,2.999843187467482242e+00,2.147695723983962246e+00,7.991154963039752701e-01,-3.649132664467708009e-01,5.972735535321577452e+06
-1.774113813688607877e+00,-5.038398785348338293e+00,2.999843187467482242e+00,2.147695723983962246e+00,7.991154963039752701e-01,-3.649132664467708009e-01,5.972735535321577452e+06
-1.774113813688607877e+00,-5.038398785348338293e+00,2.999843187467482242e+00,2.147695723983962246e+00,7.991154963039752701e-01,-3.649132664467708009e-01,5.972735535321577452e+06
-1.774113813688607877e+00,-5.038398785348338293e+00,2.999843187467482242e+00,2.147695723983962246e+00,7.991154963039752701e-01,-3.649132664467708009e-01,5.972735535321577452e+06
-1.774113813688607877e+00,-5.038398785348338293e+00,2.999843187467482242e+00,2.147695723983962246e+00,7.991154963039752701e-01,-3.649132664467708009e-01,5.972735535321577452e+06
-1.912212659162527473e+00,-4.989367152594540222e+00,2.887066359978740948e+00,2.232432418351672165e+00,8.210580694186950801e-01,-3.975309030610010286e-01,5.972735535321577452e+06
-1.912212659162527473e+00,-4.989367152594540222e+00,2.887066359978740948e+00,2.232432418351672165e+00,8.210580694186950801e-01,-3.975309030610010286e-01,5.972735535321577452e+06
-2.233452798956859109e+00,-4.920684745070858845e+00,2.775464618242201809e+00,2.212613162196932493e+00,7.675238806137324454e-01,-1.180847833630762900e-01,5.972735535321577452e+06
-1.908479082821081363e+00,-4.780221019275936456e+00,2.900303219600989024e+00,2.129877397608744616e+00,5.603761760383881851e-01,-1.572955627045791172e-01,5.972735535321577452e+06
-1.908479082821081363e+00,-4.780221019275936456e+00,2.900303219600989024e+00,2.129877397608744616e+00,5.603761760383881851e-01,-1.572955627045791172e-01,5.972735535321577452e+06
-1.970956987065044075e+00,-4.751196593949263303e+00,2.949276512155972085e+00,2.153300718301016659e+00,5.521785314318726767e-01,-1.533486994602313858e-01,5.972735535321577452e+06
-2.042644328531765918e+00,-4.757054315534661626e+00,2.983463990327625215e+00,2.166167166155300805e+00,5.683652913970458354e-01,-1.508507877127374108e-01,5.972735535321577452e+06
