SSR, lamb, beta, k, delta, p, c, K
3.745062074648708439e-01,1.781316453946429901e-01,8.059695028106565490e-05,1.427025008593509448e+00,4.724280710723213312e+18,1.932722837708090112e+18,7.712356919005603118e+01,5.313665584824058227e+06
8.853901292473929097e-01,1.374170632886765608e-01,3.306136904517313797e-05,1.990022042083342768e+00,3.109426317244817408e+18,3.089538620494542848e+18,8.665530611333866773e+01,3.503301011380061507e+06
1.224282118705102729e+00,1.533444593310343274e-01,2.007558379661385811e-05,1.909183911787236898e+00,2.676376233362933760e+18,3.379306313116877312e+18,8.121289189016812315e+01,7.863154325538056903e+06
6.127141201783542490e-01,1.500254359679778771e-01,7.060745448759105883e-05,2.014275677343722037e+00,3.845785594361554944e+18,2.379359843683884032e+18,1.137920787236070908e+02,3.186040918703936040e+06
4.748705543577909793e+02,9.388711649555139260e-01,8.542649944796409146e-08,3.569001912556273026e-02,4.615391636642189148e+20,1.959006131090253200e+16,1.415329440965861613e+04,1.069842024390360573e+06
1.453127218304387069e+00,1.408255121952848299e-01,2.061041204711085568e-05,1.944289541786411002e+00,2.758757529466974208e+18,3.276925096887645696e+18,8.378327206463859511e+01,7.855514044354598969e+06
1.480741253721281403e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
8.437009914440287695e-01,1.524179626416806710e-01,2.476787363853412706e-05,1.503259982366836001e+00,2.732228223148826112e+18,3.309323375370349056e+18,8.424570584423527464e+01,7.646595526208398864e+06
6.435947177499623528e-01,1.381772704955306907e-01,2.876548338124294078e-05,1.608887869185782193e+00,4.323907043678089216e+18,1.751597791018488320e+18,3.831597178987097863e+01,9.820018448021713644e+06
8.966149584803401185e-01,1.854799719839114458e-01,1.812503509324280902e-05,1.540017881600216354e+00,2.556349611946566656e+18,3.414531106783656960e+18,7.161985100377741276e+01,1.086382960492551699e+07
1.531412897091599223e+00,1.367099221060044945e-01,2.203353671982840578e-05,2.154430585881724980e+00,2.896867571924823040e+18,3.121167524236607488e+18,8.897095071464570992e+01,8.027856391095641069e+06
1.004505070436280123e+00,1.492506332702023542e-01,5.124413216147353676e-05,1.729162753701141808e+00,6.532271042254846976e+18,2.014435754839365376e+18,4.824825162943407975e+01,6.948462691648399457e+06
9.149465744020356395e-01,1.406717235192225801e-01,1.897383531622472814e-05,1.715447319564185502e+00,2.594255936901789696e+18,3.493227120303544320e+18,7.485164131369324991e+01,6.760577099395201541e+06
1.453923418032741166e+00,1.367041523123113111e-01,2.203319556916194988e-05,2.154312115827547558e+00,2.896881092553858048e+18,3.121152980387046400e+18,8.897109362704979674e+01,8.027603838005029596e+06
1.448828098356040872e+00,1.388017669168558343e-01,2.209614245740847257e-05,2.181047175552599970e+00,2.891396124944459264e+18,3.127080366354903552e+18,8.880308082180683016e+01,8.041807182798812166e+06
1.090532391216629593e+00,1.393866877004373284e-01,2.221363071570091463e-05,2.226082239830284415e+00,2.884877964362705408e+18,3.134136485205526016e+18,8.864541282638539599e+01,8.075301392470490187e+06
1.445425704305643988e+00,1.583550801698246357e-01,2.791912754599280513e-05,1.779462993220800149e+00,3.088264205418353664e+18,2.929876907296767488e+18,9.317641614345718892e+01,1.062998892642435990e+07
1.270827564156777445e+00,1.267813054578279530e-01,2.385346705366706661e-05,2.164218659362298514e+00,1.338590269082339072e+18,6.496939487184434176e+18,3.790696329787994046e+02,5.399613535144768655e+06
1.511979254173873910e+00,1.340367720087448922e-01,2.193935428230283665e-05,2.132964483242813181e+00,2.892761764246306304e+18,3.125600213461810176e+18,8.887593277126704550e+01,8.104678554589832202e+06
1.004849890681945190e+00,1.347919938397518502e-01,1.959636624794308581e-05,1.817527899176245354e+00,2.645167008611572736e+18,3.401869908795870208e+18,7.810814498624901603e+01,6.849215448049618863e+06
1.180705906879741418e+00,1.587623909475904815e-01,1.996289041786080844e-05,1.823810669540596008e+00,2.715271366700218880e+18,3.330444114259488768e+18,7.620321176001630192e+01,7.931213736976292916e+06
8.336306184736863578e-01,1.957419699915652067e-01,1.829095320763192561e-05,1.509762173870948354e+00,2.617392726259978240e+18,3.442482265213057024e+18,8.422654661680708443e+01,1.916024205261242017e+07
7.707751687309536415e-01,2.432316854144041252e-01,4.468543050658479776e-05,1.359904722938741983e+00,5.883432065811398656e+18,1.606918320230236416e+18,4.241853676527092887e+01,2.363840606680116057e+07
