lamb, beta, k, delta, p, c, K
-9.454164734565693173e-01,-4.827619571584344627e+00,1.128759372673622252e-01,2.091255275530484514e+00,9.581960412984935616e-01,1.661344708585472674e-01,4.767840060099503025e+06
-1.599277461051792582e+00,-5.003217468972705362e+00,3.507487727208697947e-01,1.903746197470944646e+00,9.083085691545312867e-01,1.810602268762612210e-01,4.767840060099503025e+06
-1.493427831010336160e+00,-4.981361377309115213e+00,3.042438132829574648e-01,1.929481309952063350e+00,9.108823947784914221e-01,1.658866262555562243e-01,4.767840060099503025e+06
-1.990393355732857916e+00,-5.170344524510427142e+00,5.548476678762606085e-01,1.656117949751190421e+00,7.797743982863485357e-01,1.844956124191657332e-01,4.767840060099503025e+06
-2.000181071614565820e+00,-5.145540593804410534e+00,5.245484577205198340e-01,1.698976784563642983e+00,7.929699343067122541e-01,1.749608455762827752e-01,4.767840060099503025e+06
-1.817783805069535186e+00,-4.790432307319625771e+00,3.013773568508233969e-01,1.880611788143192964e+00,5.815395153063728229e-01,9.541910845615664272e-02,4.767840060099503025e+06
-2.001150613239267351e+00,-5.121511594034580561e+00,5.820985228678841050e-01,1.603994042364407679e+00,6.576944593831554053e-01,2.176276196862838852e-01,4.767840060099503025e+06
-1.997476216888363965e+00,-5.096942719503610775e+00,4.684574347386734061e-01,1.609838203671150492e+00,6.499803115399961362e-01,2.200428774053049819e-01,4.767840060099503025e+06
-1.855770449064659822e+00,-4.994092520464632479e+00,2.769931485423764439e-01,1.588263382049687644e+00,5.334941855369225161e-01,2.133446884784562236e-01,4.767840060099503025e+06
-2.688593509421111527e+00,-5.205416077804025932e+00,7.117572615423161109e-01,1.971022656493066627e+00,1.051030710012795133e+00,1.906202294732019242e-01,4.767840060099503025e+06
-2.655007555529131480e+00,-5.237569026586424314e+00,7.151690526658556202e-01,1.900592567472551675e+00,1.028992043613114138e+00,2.076280807340433743e-01,4.767840060099503025e+06
-2.424070244996586965e+00,-5.249937576234578351e+00,4.390826924745083737e-01,2.118287532620612090e+00,1.258387890726833991e+00,1.649789951332012172e-01,4.767840060099503025e+06
-3.073443110564682890e+00,-5.481151464549665953e+00,7.493590732725537995e-01,1.740823800926159182e+00,1.143682709373419204e+00,2.507205370880519757e-01,4.767840060099503025e+06
-3.646754229682752424e+00,-5.426957452684662009e+00,4.799871366918768700e-01,1.693954824382758018e+00,1.079449287745848807e+00,2.586305835556697019e-01,4.767840060099503025e+06
-3.647076239188922209e+00,-5.425637180782757696e+00,4.681059551683945941e-01,1.693330492580352065e+00,1.078311676991412948e+00,2.586276942847025029e-01,4.767840060099503025e+06
-3.789349740007446510e+00,-5.543976533162469522e+00,4.658172844906903753e-01,1.717734870762128274e+00,1.227927123920000474e+00,2.596382591298243003e-01,4.767840060099503025e+06
-3.604746466799790827e+00,-5.543304862327084415e+00,6.920189523215095617e-01,1.637247155042096391e+00,1.148681348300487404e+00,2.789898134581643152e-01,4.767840060099503025e+06
-3.812194377331583617e+00,-5.490498920733697830e+00,6.861268610132450485e-01,2.080718466841469105e+00,1.510531512168123758e+00,2.278319598421980618e-01,4.767840060099503025e+06
-3.859831799377060335e+00,-5.556055316330942517e+00,7.796632414343142026e-01,2.010055184211498869e+00,1.485641926442726746e+00,1.866715683999204400e-01,4.767840060099503025e+06
-3.850111235411941557e+00,-5.542356174981078354e+00,7.937417188234463516e-01,2.044023220108207362e+00,1.502129349171784645e+00,1.807295440869320924e-01,4.767840060099503025e+06
-3.879345749781849761e+00,-5.551084323247907015e+00,7.541605026980713333e-01,2.045018060615625188e+00,1.514614804831180273e+00,1.795883945705908091e-01,4.767840060099503025e+06
-3.986605847894328924e+00,-5.505080302760450017e+00,5.604430583851474079e-01,2.249213473674680941e+00,1.637444535822493830e+00,1.228684478778008238e-01,4.767840060099503025e+06
-2.883816251997835423e+00,-5.517447484996695017e+00,6.059103201624602697e-01,1.857961747713529510e+00,1.314589885377062561e+00,1.869746270968160040e-01,4.767840060099503025e+06
-3.002352338607842341e+00,-5.502074699204363206e+00,4.939351587011826528e-01,1.962119163679073131e+00,1.398138705620851852e+00,1.738139594019030010e-01,4.767840060099503025e+06
-3.535034077468186098e+00,-5.435282329856653938e+00,5.103358787992389178e-01,2.085704057602380423e+00,1.405930896922064299e+00,1.094476492940711365e-01,4.767840060099503025e+06
-3.939295963508230081e+00,-5.552579914030806307e+00,8.290380678407002213e-01,1.811091646555053725e+00,1.283779923524065225e+00,1.273776764495696823e-01,4.767840060099503025e+06
-3.938160983345021293e+00,-5.532092360269595055e+00,7.767379865822821028e-01,1.858346332187855054e+00,1.303528201214949833e+00,1.181828729976137637e-01,4.767840060099503025e+06
-3.836095893965095982e+00,-5.307822929241682530e+00,9.686756997302492511e-01,1.816051957778451520e+00,1.029945614999491665e+00,9.244021172891370153e-02,4.767840060099503025e+06
-3.898387711039744019e+00,-5.460268363224211718e+00,6.312721323985971411e-01,1.987015708542919201e+00,1.360264516053598882e+00,1.442894337539207261e-01,4.767840060099503025e+06
-3.362208080883280825e+00,-5.307843292260156609e+00,7.736581975471344963e-01,2.067630142201026366e+00,1.249510960126461123e+00,1.528923311874140212e-01,4.767840060099503025e+06
-3.296886639473072034e+00,-5.021682388219236515e+00,4.705274079997984193e-01,2.525807612373644595e+00,1.372274588699282649e+00,6.959213435272082471e-02,4.767840060099503025e+06
-3.367947184751246326e+00,-5.097164707768417458e+00,5.907568321837903813e-01,2.465694955951266198e+00,1.380789905968781373e+00,4.989066172546952060e-02,4.767840060099503025e+06
-3.193753689000903062e+00,-5.245749775526782344e+00,7.196291976479685104e-01,2.387570673088813322e+00,1.475807745952928407e+00,1.121731188629113141e-01,4.767840060099503025e+06
-3.005599544126871248e+00,-5.190732495659553081e+00,3.882840258355821916e-01,2.424848885022929057e+00,1.455930476856508893e+00,4.020787228541677916e-02,4.767840060099503025e+06
-2.748612481526711449e+00,-5.193176367956806594e+00,3.995544971990488414e-01,2.121710873433346300e+00,1.190053601188406418e+00,7.947766063305866657e-02,4.767840060099503025e+06
-2.747591284008842116e+00,-5.056695377441410066e+00,3.653166107021708076e-01,2.157327428961461457e+00,1.074019476960682118e+00,3.141412975389112905e-02,4.767840060099503025e+06
-2.959268050737278166e+00,-4.982595418167451662e+00,3.638044039484646941e-01,2.253603511840281293e+00,1.067844168242048752e+00,-1.503915717400450269e-02,4.767840060099503025e+06
-3.169944869797718390e+00,-4.924849909671245030e+00,4.938867259970805002e-01,2.209079040176334718e+00,9.885657068295666816e-01,4.059207381973284345e-02,4.767840060099503025e+06
-2.922782099888255658e+00,-4.981571940801212683e+00,5.988963187092191109e-01,1.988027594404558451e+00,8.708248550262601695e-01,1.261133081603183492e-01,4.767840060099503025e+06
-2.860940508921395065e+00,-4.998340722451430018e+00,6.400336093325424969e-01,1.973484814656783826e+00,8.712889116840645265e-01,1.281788422680488204e-01,4.767840060099503025e+06
-2.828458738691547403e+00,-4.869752995894522485e+00,2.292466407838640308e-01,2.196544844057860324e+00,9.833795722928466709e-01,1.210265895800610447e-01,4.767840060099503025e+06
-2.783103995757607141e+00,-4.918639350224163209e+00,3.349634981086020424e-01,2.155413292376812340e+00,9.952857284512374170e-01,1.378393454549630137e-01,4.767840060099503025e+06
-2.606825005123829531e+00,-4.934345508377249168e+00,3.607561699747641182e-01,2.058023921931548372e+00,9.105327893412845652e-01,1.209447073885759338e-01,4.767840060099503025e+06
-2.606825005123829531e+00,-4.934345508377249168e+00,3.607561699747641182e-01,2.058023921931548372e+00,9.105327893412845652e-01,1.209447073885759338e-01,4.767840060099503025e+06
