lamb, beta, k, delta, p, c, K
5.001611332218386385e-01,-4.429365042383315298e+00,2.333160222481198698e+00,1.474735752914983156e+00,-1.400930874355591493e-01,2.464802031365541657e-01,5.142701720558476634e+06
5.045773892808811389e-01,-4.373907948506228216e+00,2.437587763315173461e+00,1.363305968348683450e+00,-2.295762818454863963e-01,3.613462143162461393e-01,5.142701720558476634e+06
6.080401973918314606e-01,-4.225107975187436971e+00,1.913684728361505272e+00,1.659590633575698693e+00,-1.649862687276185680e-01,2.326496089925579325e-01,5.142701720558476634e+06
6.080401973918314606e-01,-4.225107975187436971e+00,1.913684728361505272e+00,1.659590633575698693e+00,-1.649862687276185680e-01,2.326496089925579325e-01,5.142701720558476634e+06
4.832508244017782451e-01,-4.074672415474131171e+00,1.920450409551696325e+00,1.960287375991803582e+00,-8.648231236874504013e-02,1.089335877167086908e-01,5.142701720558476634e+06
4.215738169935839275e-01,-4.114066174145017740e+00,1.776023120557891577e+00,2.121020337694951241e+00,-2.421054538928046895e-02,6.459241809538096568e-02,5.142701720558476634e+06
3.152646970373496060e-01,-4.705144489085935966e+00,2.310403947694312343e+00,1.291707972380973013e+00,3.685291193228391049e-01,9.682651915939515241e-01,5.142701720558476634e+06
3.147828984913595418e-01,-4.705557828967815936e+00,2.306447985235506870e+00,1.295769376106616466e+00,3.702332350536993721e-01,9.629021151520367194e-01,5.142701720558476634e+06
4.836419345909948042e-03,-5.002519750241211760e+00,2.456651054630934361e+00,9.551907607431695535e-01,5.586566399464979460e-01,1.176939434862116496e+00,5.142701720558476634e+06
4.730624703490161898e-02,-5.042860691243356008e+00,2.322384489464446311e+00,1.017270732825702240e+00,5.886781183409783846e-01,1.068579026052199898e+00,5.142701720558476634e+06
2.888996558570093853e-01,-5.068143506760936390e+00,2.265226142018592626e+00,9.810157345689629604e-01,4.956475042312932233e-01,9.135200311961577668e-01,5.142701720558476634e+06
2.324622773169069123e-01,-5.363160038529423801e+00,1.928934563624834508e+00,1.062234981003423506e+00,5.943918075227982989e-01,5.894274268667878403e-01,5.142701720558476634e+06
3.476788953673261018e-01,-5.029538123680604045e+00,1.683772611595115265e+00,1.453813120753305377e+00,5.396555681727073228e-01,4.241008905074843405e-01,5.142701720558476634e+06
2.967643333986558773e-01,-5.078257816593044538e+00,1.849839126276897172e+00,1.523052083092931275e+00,6.050772250739537839e-01,4.145907453357837724e-01,5.142701720558476634e+06
9.644934919358183478e-01,-4.151073359688913555e+00,1.106305323156407283e+00,1.873754870685857998e+00,-5.293150104357824404e-02,1.460438343293328223e-01,5.142701720558476634e+06
9.488936941381655998e-01,-4.142364325197900321e+00,1.033075106970007040e+00,1.859154842612659841e+00,-1.325521990582134713e-02,1.920875653655008675e-01,5.142701720558476634e+06
9.625811320343827804e-01,-4.573995973150987382e+00,7.271161078673549216e-01,1.652268685864915820e+00,2.767589557929852617e-01,3.389216690705181279e-01,5.142701720558476634e+06
6.515646723608370383e-01,-4.675104581583470420e+00,1.016406230992252802e+00,1.557220273154789947e+00,2.720241448783983218e-01,1.824845638349099630e-01,5.142701720558476634e+06
8.109581767811837594e-01,-4.618519176044712182e+00,8.361139541993969360e-01,1.555934149046185544e+00,1.924957379874505659e-01,2.121711182337198132e-01,5.142701720558476634e+06
8.732488867150091094e-01,-4.552254212109519749e+00,8.103211186527152776e-01,1.982350667648450138e+00,4.128490074907488205e-01,7.758209554211892289e-02,5.142701720558476634e+06
8.701593901760070748e-01,-4.553384291713404863e+00,8.068110122292513342e-01,1.979534175510658800e+00,4.135774236975108265e-01,7.844689282409150755e-02,5.142701720558476634e+06
8.701593901760070748e-01,-4.553384291713404863e+00,8.068110122292513342e-01,1.979534175510658800e+00,4.135774236975108265e-01,7.844689282409150755e-02,5.142701720558476634e+06
9.053177844418807130e-01,-4.540489421404517500e+00,7.866361995226007764e-01,1.984721765759682066e+00,4.107687036001149705e-01,8.955160456323335572e-02,5.142701720558476634e+06
8.917529352611689442e-01,-4.647552119721342301e+00,1.118531922562718162e+00,1.790468303219001189e+00,2.921641481383540073e-01,6.519332415555978422e-02,5.142701720558476634e+06
8.917529352611689442e-01,-4.647552119721342301e+00,1.118531922562718162e+00,1.790468303219001189e+00,2.921641481383540073e-01,6.519332415555978422e-02,5.142701720558476634e+06
4.720546827211264951e-01,-4.856158322032283259e+00,1.340545934173166698e+00,1.633863959628357065e+00,3.000355571378034991e-01,-1.880100981813370709e-01,5.142701720558476634e+06
4.124610446793280927e-01,-4.925774497235999583e+00,1.294180420849454283e+00,1.501850794732516592e+00,2.688577770967636726e-01,-1.560522402464990521e-01,5.142701720558476634e+06
4.124610446793280927e-01,-4.925774497235999583e+00,1.294180420849454283e+00,1.501850794732516592e+00,2.688577770967636726e-01,-1.560522402464990521e-01,5.142701720558476634e+06
3.674350014544131571e-01,-4.920032872369279886e+00,1.052482085826879077e+00,1.526302508917828815e+00,2.893612368339807395e-01,-1.879584367156732494e-01,5.142701720558476634e+06
2.095974326763959672e-01,-4.875291588193771730e+00,2.034052421524511711e+00,1.364209664413924328e+00,1.034387944276360383e-02,-8.919319877184650469e-02,5.142701720558476634e+06
2.992464096565260467e-01,-4.765892563803542537e+00,1.973112076799516279e+00,1.030172046522438656e+00,-1.609312701617248154e-01,1.815556670456943689e-01,5.142701720558476634e+06
1.825179363294023860e-01,-4.621116247944001110e+00,2.525487890985053330e+00,9.938811506879083879e-01,-4.686921620054340654e-01,7.079649458776926529e-02,5.142701720558476634e+06
2.367987643808300291e-02,-4.608379214819739111e+00,2.687217916293877629e+00,9.751370059893489373e-01,-5.162392013386278844e-01,1.286277503366918817e-01,5.142701720558476634e+06
2.556027320101890155e-01,-4.004062053092308560e+00,1.899054907680409521e+00,8.986420245517658945e-01,-4.072954733360608093e-01,8.781774288217200075e-01,5.142701720558476634e+06
2.556027320101890155e-01,-4.004062053092308560e+00,1.899054907680409521e+00,8.986420245517658945e-01,-4.072954733360608093e-01,8.781774288217200075e-01,5.142701720558476634e+06
2.556027320101890155e-01,-4.004062053092308560e+00,1.899054907680409521e+00,8.986420245517658945e-01,-4.072954733360608093e-01,8.781774288217200075e-01,5.142701720558476634e+06
2.556027320101890155e-01,-4.004062053092308560e+00,1.899054907680409521e+00,8.986420245517658945e-01,-4.072954733360608093e-01,8.781774288217200075e-01,5.142701720558476634e+06
-4.410787655762860027e-02,-3.672693120560271307e+00,1.896644043597321305e+00,7.792187142836807245e-01,-5.093914023948755698e-01,1.270657338269937320e+00,5.142701720558476634e+06
-4.410787655762860027e-02,-3.672693120560271307e+00,1.896644043597321305e+00,7.792187142836807245e-01,-5.093914023948755698e-01,1.270657338269937320e+00,5.142701720558476634e+06
-8.203876312471258814e-02,-3.575297232313614959e+00,2.001924862244917946e+00,7.690809857145299855e-01,-6.449687003079755954e-01,1.236213998333927755e+00,5.142701720558476634e+06
6.381511935222019538e-01,-3.611677288993484947e+00,1.768491493912770496e+00,6.583360472516737172e-01,-2.267227487925509433e-01,1.796711343846852715e+00,5.142701720558476634e+06
5.556392716591634917e-01,-3.906356588998151302e+00,1.822316825344268754e+00,1.034237608580488077e+00,3.002883972279035696e-02,1.270234331044857168e+00,5.142701720558476634e+06
5.556392716591634917e-01,-3.906356588998151302e+00,1.822316825344268754e+00,1.034237608580488077e+00,3.002883972279035696e-02,1.270234331044857168e+00,5.142701720558476634e+06
9.837713051750197613e-01,-3.971489963428821213e+00,6.631554122317382394e-01,1.649026599412655836e+00,5.879546524214768199e-01,1.406201536917891293e+00,5.142701720558476634e+06
9.698471582444557759e-01,-4.211627624558010652e+00,7.985119567590782674e-01,1.409526801256001383e+00,5.929792637410813416e-01,1.383154702694969096e+00,5.142701720558476634e+06
