lamb, beta, k, delta, p, c, K
-4.537483459474035974e-01,-2.429648528692628151e+00,2.819542461780348397e+00,4.176792512063427942e+00,1.278828524065334538e+00,-1.882864197704873510e-01,3.123092429211520124e+06
-5.574855711830298821e-01,-2.408176483196004192e+00,2.957883686225644126e+00,4.286235626663560616e+00,1.389709904170027599e+00,-2.258200432532897484e-01,3.123092429211520124e+06
-5.574855711830298821e-01,-2.408176483196004192e+00,2.957883686225644126e+00,4.286235626663560616e+00,1.389709904170027599e+00,-2.258200432532897484e-01,3.123092429211520124e+06
-7.262809092409181488e-01,-2.914291824754555726e+00,2.618476846106137401e+00,3.567128546009597390e+00,1.011106108942002590e+00,-1.180992573551694069e-01,3.123092429211520124e+06
-7.262809092409181488e-01,-2.914291824754555726e+00,2.618476846106137401e+00,3.567128546009597390e+00,1.011106108942002590e+00,-1.180992573551694069e-01,3.123092429211520124e+06
-1.311241212233559050e+00,-2.635723533915951045e+00,2.650167045462490822e+00,4.102120920146363758e+00,1.425300821306638488e+00,6.324939832721816479e-01,3.123092429211520124e+06
-1.692070627441467856e+00,-2.080690367547203490e+00,2.785029247595829816e+00,4.277273360958954385e+00,1.717068077118501179e+00,1.104942214921918797e+00,3.123092429211520124e+06
-1.692070627441467856e+00,-2.080690367547203490e+00,2.785029247595829816e+00,4.277273360958954385e+00,1.717068077118501179e+00,1.104942214921918797e+00,3.123092429211520124e+06
-9.577517452715829105e-01,-2.451932608341699460e+00,2.379527050419310008e+00,3.778637992489160879e+00,1.158837744680749404e+00,6.295977748826593334e-01,3.123092429211520124e+06
-9.603920586842220608e-01,-2.291241104143992402e+00,2.352046647282929115e+00,4.105830217509891966e+00,1.472573503266003891e+00,8.187419427541928751e-01,3.123092429211520124e+06
-9.603920586842220608e-01,-2.291241104143992402e+00,2.352046647282929115e+00,4.105830217509891966e+00,1.472573503266003891e+00,8.187419427541928751e-01,3.123092429211520124e+06
-9.603920586842220608e-01,-2.291241104143992402e+00,2.352046647282929115e+00,4.105830217509891966e+00,1.472573503266003891e+00,8.187419427541928751e-01,3.123092429211520124e+06
-1.112407482626520894e+00,-3.057852144965618635e+00,2.511515259990281024e+00,3.405268596288754779e+00,1.078136605068058085e+00,5.589447101458980827e-01,3.123092429211520124e+06
-9.688047590976455181e-01,-3.024826174035195159e+00,2.519937415008032922e+00,3.411857724522464164e+00,1.022191804266076920e+00,4.241560487447364469e-01,3.123092429211520124e+06
-9.688047590976455181e-01,-3.024826174035195159e+00,2.519937415008032922e+00,3.411857724522464164e+00,1.022191804266076920e+00,4.241560487447364469e-01,3.123092429211520124e+06
-9.688047590976455181e-01,-3.024826174035195159e+00,2.519937415008032922e+00,3.411857724522464164e+00,1.022191804266076920e+00,4.241560487447364469e-01,3.123092429211520124e+06
-1.433194896678512631e+00,-3.413506022606725310e+00,1.883038723014978322e+00,3.080472040905560149e+00,1.027981364901852102e+00,6.509687049631255329e-01,3.123092429211520124e+06
-1.433194896678512631e+00,-3.413506022606725310e+00,1.883038723014978322e+00,3.080472040905560149e+00,1.027981364901852102e+00,6.509687049631255329e-01,3.123092429211520124e+06
-1.290138675664547208e+00,-3.430865356175414771e+00,1.647125118901504814e+00,2.940173271298339941e+00,8.288162512341997745e-01,5.431972806396063724e-01,3.123092429211520124e+06
-1.290138675664547208e+00,-3.430865356175414771e+00,1.647125118901504814e+00,2.940173271298339941e+00,8.288162512341997745e-01,5.431972806396063724e-01,3.123092429211520124e+06
-1.484546215227997568e+00,-3.583851591757179378e+00,2.005232871276982909e+00,3.028971351351778196e+00,1.118522273190835303e+00,6.167038146802608090e-01,3.123092429211520124e+06
-1.484546215227997568e+00,-3.583851591757179378e+00,2.005232871276982909e+00,3.028971351351778196e+00,1.118522273190835303e+00,6.167038146802608090e-01,3.123092429211520124e+06
-1.484546215227997568e+00,-3.583851591757179378e+00,2.005232871276982909e+00,3.028971351351778196e+00,1.118522273190835303e+00,6.167038146802608090e-01,3.123092429211520124e+06
-6.776675646348921944e-01,-3.545410200086815067e+00,1.032146594342846724e+00,2.277181786563271082e+00,-4.039714612311429143e-02,8.066333860448221538e-03,3.123092429211520124e+06
-8.109150050899976980e-01,-3.622522659226387276e+00,1.675279718313009036e+00,2.031686238123626254e+00,-3.484077227966352330e-01,-1.984430816643946438e-02,3.123092429211520124e+06
-7.241346959669161532e-01,-3.644074027128911819e+00,1.545370144065678630e+00,1.849383647405063558e+00,-4.755850058894401933e-01,-7.405816118682054250e-02,3.123092429211520124e+06
-6.798285799334160551e-01,-3.572276820509197925e+00,1.634687599555764370e+00,1.861952311950693773e+00,-5.387616670743913261e-01,-1.049059467252693167e-01,3.123092429211520124e+06
-5.592323915901373788e-01,-3.623368243051921844e+00,1.133758798622894304e+00,1.745055821873059632e+00,-4.167512781196008875e-01,-3.100285902443056241e-02,3.123092429211520124e+06
-4.849123712048259427e-01,-3.401168427580228748e+00,1.252241834649419960e+00,1.406424255084636199e+00,-9.672393404595232003e-01,-1.688547129922995937e-02,3.123092429211520124e+06
-5.741009228221368721e-01,-4.134467551317920986e+00,8.706615779676165623e-01,1.768309047973005477e+00,1.690445916388522152e-01,9.565969628492622390e-02,3.123092429211520124e+06
-4.386372284268767463e-01,-4.229933011634307682e+00,5.611124800146398695e-01,1.319411070384868045e+00,-9.821021657332601462e-02,7.325090885848782596e-02,3.123092429211520124e+06
-4.393321088252157836e-01,-4.230031606485871620e+00,5.630408783456384292e-01,1.320023597028724627e+00,-9.776347555963316172e-02,7.314951074803439923e-02,3.123092429211520124e+06
-6.336039632250838327e-01,-4.287300732607915776e+00,9.365305725121808589e-01,1.715922360849341022e+00,2.753653749642368531e-01,1.303399570376128358e-01,3.123092429211520124e+06
-9.672051258948308750e-01,-4.255760753367635374e+00,1.573642916829196992e+00,1.611295647132568121e+00,6.492942765071063604e-03,6.159305505540524361e-02,3.123092429211520124e+06
-1.044093657935406760e+00,-4.198724620804497931e+00,1.986651394971963080e+00,1.706054365154521246e+00,-1.580067012470305343e-01,-1.453276875135559587e-01,3.123092429211520124e+06
-1.044093657935406760e+00,-4.198724620804497931e+00,1.986651394971963080e+00,1.706054365154521246e+00,-1.580067012470305343e-01,-1.453276875135559587e-01,3.123092429211520124e+06
-8.862192791941839731e-01,-3.408156242023181459e+00,2.538090001720959776e+00,3.146190728490978472e+00,4.944625511712723576e-01,-8.021641115674937872e-02,3.123092429211520124e+06
-9.763104485702662760e-01,-3.327164604408965332e+00,2.717629451466727186e+00,3.547108743538417208e+00,7.412740730952316337e-01,-1.065047369629592011e-01,3.123092429211520124e+06
-9.007034155133769593e-01,-3.626877336531467932e+00,2.492816774905869615e+00,2.923782895597375031e+00,5.264147851380334142e-01,-5.517242886269718705e-02,3.123092429211520124e+06
-1.021247769796104210e+00,-2.436287064495505028e+00,2.805839091422818399e+00,3.935227536245355928e+00,8.777764150692601852e-02,-3.514343596321817254e-01,3.123092429211520124e+06
-7.403739953826485864e-01,-3.117865778411553102e+00,2.552236757982806026e+00,3.548343352094106340e+00,6.445657191225528937e-01,-1.320885456874676955e-01,3.123092429211520124e+06
-6.302301033173755007e-01,-2.956589136074803115e+00,2.338961232339827223e+00,3.204941821333202157e+00,1.695055002563889968e-01,-1.926087164468699431e-01,3.123092429211520124e+06
-4.897940636132231962e-01,-3.147698353756097855e+00,1.290920321239750868e+00,2.714101010116642065e+00,5.149703025829038827e-02,-8.035318949458906956e-02,3.123092429211520124e+06
-8.598735618100306066e-01,-3.775981701081998931e+00,8.312648216937953416e-01,2.203063661806493378e+00,1.310308395836655704e-01,1.051426902198631663e-01,3.123092429211520124e+06
-7.176451844783566791e-01,-3.861523989613275809e+00,7.232965673649419669e-01,1.994337422685071637e+00,6.467906713961896203e-02,1.367883934500919441e-01,3.123092429211520124e+06
-6.253147582777687230e-01,-3.635175365241497758e+00,4.601248091488516767e-01,1.761420203174059562e+00,-4.349258704193634806e-01,2.219271479921858248e-02,3.123092429211520124e+06
-1.418816094390171312e+00,-3.322625509855392512e+00,4.586966959394400689e-01,2.834894908602066721e+00,2.056720027390975536e-01,-4.910216531774697080e-02,3.123092429211520124e+06
-1.399843442318838171e+00,-3.374939016282425985e+00,5.575598595612044628e-01,2.661475133143927252e+00,9.178636971267106759e-02,-2.761267630827914099e-02,3.123092429211520124e+06
-1.297832136743443776e+00,-3.151906193630554132e+00,7.837255892520151868e-01,2.898940624200115668e+00,3.563916528196142686e-02,-1.462669585979530229e-01,3.123092429211520124e+06
-1.418412145816752012e+00,-2.920819139975150414e+00,3.600680052443321344e-01,3.304763744339052067e+00,1.577729419612707851e-01,-2.380091069469291998e-01,3.123092429211520124e+06
-1.371233918353079284e+00,-3.327175711503231437e+00,9.893963270450694125e-01,2.935502314304470950e+00,2.380876250597566690e-01,-5.657522307677334550e-02,3.123092429211520124e+06
-1.682924032314568219e+00,-2.855161742073518916e+00,5.290717328761566085e-01,3.509816799741255267e+00,2.360869221594816825e-01,-2.318815123456050009e-01,3.123092429211520124e+06
-1.675012354998970832e+00,-3.046725162862207181e+00,7.016772386607166290e-01,3.090517336903565671e+00,2.621526752715347408e-02,-2.017772455051003722e-01,3.123092429211520124e+06
-1.468910857613842103e+00,-3.336907573031773655e+00,8.353021758548336839e-01,2.888001601629866855e+00,1.881105012332499049e-01,-1.113298977809826507e-01,3.123092429211520124e+06
-1.315068650201436373e+00,-3.482991490336094120e+00,9.277765327841982490e-01,2.874176766483348189e+00,3.359705651442294050e-01,-1.105364171814590679e-01,3.123092429211520124e+06
-1.460350555706365627e+00,-3.462534437733209902e+00,7.798329106321644222e-01,2.188929509257357076e+00,-3.445869623926550718e-01,-6.907324499377670568e-02,3.123092429211520124e+06
-1.578537706719714162e+00,-3.653900683769654822e+00,9.683402484716626679e-01,2.362044603207951621e+00,6.465373783744437358e-03,-1.214699437439963059e-01,3.123092429211520124e+06
-1.581318526152026394e+00,-3.655834967955546855e+00,9.602216517174231303e-01,2.362580721710895393e+00,8.299270278907422416e-03,-1.216316953016564201e-01,3.123092429211520124e+06
-1.715787256004409178e+00,-3.343719288241299381e+00,1.587024059628955763e+00,3.212830545093269485e+00,4.113037221504461938e-01,-1.355122203287753291e-01,3.123092429211520124e+06
-1.622606108174723838e+00,-3.373386647479075684e+00,1.773012437208765446e+00,3.155278591003058963e+00,4.291829704056396855e-01,-1.004550668278656744e-01,3.123092429211520124e+06
-2.704673139905780399e+00,-2.786290226871853459e+00,1.462242107462798257e+00,4.416397359434910186e+00,8.713936205983677796e-01,-3.117014493800578934e-01,3.123092429211520124e+06
-2.515385110277526870e+00,-2.854970732774503972e+00,1.632470987839325760e+00,4.433164078390570140e+00,9.821150265499699605e-01,-2.824454015339619151e-01,3.123092429211520124e+06
-2.341511265921751406e+00,-3.041916915447449465e+00,2.061268659172962092e+00,3.831472562961489636e+00,6.432937090414840853e-01,-2.521045779906483930e-01,3.123092429211520124e+06
-2.689836021488049234e+00,-2.825280176955766276e+00,1.844035516759326310e+00,4.343014493133018128e+00,8.725456516249014971e-01,-3.085090438509547894e-01,3.123092429211520124e+06
-1.920975071157757785e+00,-3.177634865051119473e+00,1.958679564494176129e+00,3.529492408132035575e+00,5.876246928405569614e-01,-1.928075461096308008e-01,3.123092429211520124e+06
-1.335584497260987824e+00,-3.350877210886460844e+00,2.441477918988090856e+00,2.962425605342223989e+00,2.043661884956022856e-01,-1.257619601424323219e-01,3.123092429211520124e+06
-1.192485580192862438e+00,-3.877782748125083945e+00,2.142707831237615768e+00,2.298460000049067808e+00,2.012116094222540230e-01,4.712659863617908729e-02,3.123092429211520124e+06
-9.287207648173956276e-01,-4.118983934631863519e+00,1.830008073241156552e+00,2.287265181203363973e+00,4.761431184609307143e-01,1.357903912359116338e-01,3.123092429211520124e+06
-7.689625190661956156e-01,-3.857492039084870594e+00,1.621233984973788900e+00,2.608389722062447014e+00,5.001694897914565896e-01,-7.994062351421686585e-02,3.123092429211520124e+06
-6.192597700565759533e-01,-3.955565943594479883e+00,1.858580413047306923e+00,1.276279999610319571e+00,-4.966882936152767769e-01,5.310600973468732056e-02,3.123092429211520124e+06
-6.177492274662321758e-01,-3.932040110861521498e+00,1.822181690072371296e+00,1.265750047859300453e+00,-5.247988429715649827e-01,6.630966106579939956e-02,3.123092429211520124e+06
-6.731794312547816350e-01,-3.927287399649037614e+00,1.897452523190058304e+00,1.330529201321821953e+00,-5.207745155031040518e-01,1.969685312582090952e-02,3.123092429211520124e+06
-6.858589521646069054e-01,-3.998395708403180482e+00,2.142319510826829365e+00,1.761354167020735773e+00,-7.979563383431376167e-02,5.258853990781874044e-03,3.123092429211520124e+06
-7.075614370397730335e-01,-4.010685006950859943e+00,2.140052593102607315e+00,1.722993732955535595e+00,-1.139088842089721609e-01,-6.312585994977526482e-03,3.123092429211520124e+06
-7.768190543974023976e-01,-4.322954401218955134e+00,2.616156903766575503e+00,1.568278890254633406e+00,2.352314973355146277e-02,-2.756227927884141726e-02,3.123092429211520124e+06
-8.404542738752047715e-01,-3.863226997645767824e+00,2.088557805931813505e+00,2.149182891405538420e+00,1.050064483250047198e-01,-4.980280088835134511e-02,3.123092429211520124e+06
-7.689049967387407980e-01,-3.554350278589966106e+00,2.369326024982712386e+00,1.960068230241070797e+00,-4.045407410280742466e-01,-1.269864435701982264e-01,3.123092429211520124e+06
-8.057125157854518882e-01,-3.562954319938922421e+00,2.373594635458867952e+00,2.103330146067112327e+00,-2.650724281927642756e-01,-7.612102923464239557e-02,3.123092429211520124e+06
-1.033892151966844919e+00,-3.948767688549678745e+00,2.276082564582655898e+00,2.028415233477781854e+00,-2.325369843124736047e-02,-5.642397234626904401e-02,3.123092429211520124e+06
-1.033892151966844919e+00,-3.948767688549678745e+00,2.276082564582655898e+00,2.028415233477781854e+00,-2.325369843124736047e-02,-5.642397234626904401e-02,3.123092429211520124e+06
-1.037393027874398799e+00,-3.945029286434247329e+00,2.290502794646498863e+00,2.004142941691459345e+00,-5.293912266631967123e-02,-5.970315096644083358e-02,3.123092429211520124e+06
-9.802515980705662768e-01,-3.945753206151143999e+00,2.114305923252585817e+00,1.833019674066476812e+00,-1.832448219460715566e-01,-6.182466448786119728e-02,3.123092429211520124e+06
-1.021294374109298353e+00,-3.996565168934918422e+00,2.280095383472595216e+00,1.829261022516816881e+00,-1.602597010635715691e-01,-7.419742674282267525e-02,3.123092429211520124e+06
-1.021294374109298353e+00,-3.996565168934918422e+00,2.280095383472595216e+00,1.829261022516816881e+00,-1.602597010635715691e-01,-7.419742674282267525e-02,3.123092429211520124e+06
-1.204906595311815209e+00,-4.428058354295897558e+00,2.221088801958913006e+00,1.553526086098530268e+00,1.542652434047675492e-02,-3.181364059175363634e-02,3.123092429211520124e+06
-1.032413140862512346e+00,-4.263910339634320756e+00,1.882543448119364804e+00,1.767345003083450994e+00,8.800983169546627849e-02,1.928717919164153749e-02,3.123092429211520124e+06
5.394615667805990888e-01,-4.486670080446585551e+00,2.022536251660603135e+00,1.228564276635805141e+00,-1.753262481033210918e-01,7.998211660736509465e-02,3.123092429211520124e+06
5.394615667805990888e-01,-4.486670080446585551e+00,2.022536251660603135e+00,1.228564276635805141e+00,-1.753262481033210918e-01,7.998211660736509465e-02,3.123092429211520124e+06
5.394615667805990888e-01,-4.486670080446585551e+00,2.022536251660603135e+00,1.228564276635805141e+00,-1.753262481033210918e-01,7.998211660736509465e-02,3.123092429211520124e+06
5.394615667805990888e-01,-4.486670080446585551e+00,2.022536251660603135e+00,1.228564276635805141e+00,-1.753262481033210918e-01,7.998211660736509465e-02,3.123092429211520124e+06
5.394615667805990888e-01,-4.486670080446585551e+00,2.022536251660603135e+00,1.228564276635805141e+00,-1.753262481033210918e-01,7.998211660736509465e-02,3.123092429211520124e+06
5.394615667805990888e-01,-4.486670080446585551e+00,2.022536251660603135e+00,1.228564276635805141e+00,-1.753262481033210918e-01,7.998211660736509465e-02,3.123092429211520124e+06
5.394615667805990888e-01,-4.486670080446585551e+00,2.022536251660603135e+00,1.228564276635805141e+00,-1.753262481033210918e-01,7.998211660736509465e-02,3.123092429211520124e+06
5.394615667805990888e-01,-4.486670080446585551e+00,2.022536251660603135e+00,1.228564276635805141e+00,-1.753262481033210918e-01,7.998211660736509465e-02,3.123092429211520124e+06
