SSR, lamb, beta, k, delta, p, c, K
2.87E+00,1.03E-01,1.28E-06,5.87E+02,6.04E+00,2.39E+00,2.18E+00,1.13E+07
2.35E+01,3.60E+32,7.51E+46,1.66E+04,9.57E+39,1.09E+42,1.86E+61,4.02E-121
1.46E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
4.81E+00,3.26E-01,4.64E-06,4.98E+01,2.07E+00,1.16E-01,1.63E+00,4.11E+07
1.72E+00,8.61E-02,1.47E-06,1.39E+02,2.05E+00,1.44E+00,4.54E+00,1.46E+07
4.19E+00,2.76E-01,3.73E-05,5.19E+00,2.22E+00,2.27E-02,1.86E+00,1.91E+07
1.75E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.28E-01,1.21E-01,1.22E-06,1.79E+01,5.34E+00,3.20E+00,3.89E+00,1.40E+07
6.73E+01,1.13E-17,2.73E-131,9.10E-61,8.36E-15,1.61E-42,2.15E+36,1.83E-62
1.75E+00,1.24E-01,1.94E-06,1.48E+02,5.48E+00,1.35E+00,1.97E+00,1.17E+07
1.20E+00,1.54E-01,3.74E-06,5.36E+01,1.75E+00,3.73E-01,2.58E+00,1.14E+07
1.62E+03,8.09E-77,2.95E-62,3.36E+47,8.43E+17,3.12E+71,7.80E+12,9.19E-22
1.65E+00,1.03E-02,9.68E-07,2.93E+02,2.10E+00,9.90E+00,2.25E+01,1.29E+07
1.77E+00,1.02E-01,1.07E-06,2.52E+02,8.51E+00,2.92E+00,1.77E+00,2.20E+07
1.74E+00,1.15E-01,5.89E-06,1.22E+02,4.08E+00,3.81E-01,1.92E+00,7.66E+06
2.22E+00,2.52E-01,5.11E-06,1.57E+02,1.91E+00,1.98E-01,2.38E+00,2.12E+07
5.39E+01,5.85E-19,1.18E-09,5.48E-03,6.12E-10,1.37E+03,9.66E-02,2.01E+10
5.59E+00,9.71E-04,1.19E-05,1.07E+02,1.66E+00,9.12E-02,1.89E+00,2.80E+07
5.02E+00,2.60E-01,6.75E-06,8.06E+01,3.01E+00,7.60E-02,1.35E+00,7.27E+07
1.45E+03,1.73E-22,8.42E+21,1.59E-11,5.09E-29,5.89E+30,3.63E-57,5.66E-46
5.15E+00,1.37E-01,6.81E-06,2.15E+01,1.45E+00,2.26E-01,4.16E+00,1.83E+07
8.99E+03,9.41E-53,3.03E+06,3.88E+38,4.26E+45,5.26E+43,8.34E+24,3.79E-34
1.43E+01,4.67E-03,9.78E-05,7.27E+00,2.21E+00,1.56E-02,3.01E+00,4.14E+06
8.05E+00,1.35E-01,2.35E-05,5.02E+01,2.49E+00,4.04E-02,1.31E+00,9.81E+06
8.18E+02,1.78E-26,1.81E-33,2.72E+45,1.97E+05,1.10E+36,3.01E+09,5.52E-01
2.89E+00,5.67E-03,1.80E-06,2.63E+03,2.69E+00,1.52E+00,5.11E+00,2.98E+07
2.33E+00,1.10E-01,1.57E-06,1.53E+02,2.84E+00,9.87E-01,2.39E+00,1.61E+07
3.52E+00,4.55E-02,2.09E-06,1.88E+02,1.17E+01,1.86E+00,1.81E+00,1.16E+08
1.98E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.05E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
9.86E-01,2.62E-02,2.35E-06,1.01E+02,1.38E+01,3.81E+00,3.40E+00,3.18E+06
1.53E+00,4.13E-02,5.10E-07,2.65E+01,1.60E+01,2.55E+01,5.76E+00,1.35E+07
1.87E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.77E+00,6.89E-02,2.00E-06,2.04E+02,3.21E+00,1.05E+00,2.74E+00,1.32E+07
1.42E+03,1.41E-02,4.52E+10,7.85E+17,1.41E-04,2.80E+11,1.54E+01,1.14E+19
2.33E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.77E+00,1.36E-01,1.17E-06,2.81E+02,5.16E+00,1.73E+00,2.44E+00,2.31E+07
1.08E+00,6.74E-02,8.65E-07,2.18E+01,5.17E+00,3.50E+00,2.56E+00,1.04E+07
1.83E+00,5.89E-02,1.63E-06,2.41E+02,1.26E+01,2.70E+00,1.89E+00,3.98E+07
6.77E+00,1.39E-01,2.89E-06,1.77E+02,2.16E+00,8.13E-01,1.65E+00,3.35E+06
1.06E+05,1.01E-52,3.38E-74,6.83E-14,4.51E+00,3.19E-32,2.33E+15,7.05E+06
1.30E+00,3.02E-03,1.96E-06,4.26E+01,1.87E+01,3.55E+00,1.67E+00,3.07E+06
1.18E+00,1.85E-02,1.46E-06,4.65E+01,7.30E+00,4.62E+00,5.44E+00,5.62E+06
1.81E+00,6.35E-04,2.32E-06,2.09E+02,2.97E+00,7.61E-01,2.43E+00,9.64E+06
1.81E+00,7.88E-02,2.33E-06,5.66E+01,3.89E+00,9.93E-01,2.50E+00,1.02E+07
2.16E+00,9.60E-03,1.42E-06,3.85E+02,3.87E+00,1.53E+00,2.34E+00,5.30E+06
1.31E+04,1.45E-24,6.20E-109,1.98E-96,5.89E+03,1.53E-168,2.55E+05,1.69E+05
1.83E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.91E+00,1.08E-04,7.32E-07,1.91E+02,3.73E+00,3.37E+00,2.94E+00,3.55E+06
2.11E+00,6.68E-02,9.53E-07,1.51E+02,4.61E+00,2.53E+00,2.79E+00,2.44E+07
2.05E+00,1.35E-01,1.95E-06,1.34E+02,2.48E+00,7.30E-01,2.26E+00,1.44E+07
3.16E+03,1.98E-09,4.14E-21,7.94E+25,6.15E+03,1.60E+21,1.36E+07,2.63E+07
1.27E+00,1.50E-01,1.17E-06,1.07E+01,5.47E+01,1.70E+01,2.87E+00,4.22E+07
3.79E+00,6.14E-04,8.37E-06,5.58E+02,2.77E+00,1.78E-01,2.06E+00,3.63E+07
6.48E+01,8.58E-08,4.85E-06,1.45E-09,2.61E-09,2.05E-03,3.14E-17,2.81E+00
1.40E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
7.96E+00,9.27E-02,2.81E-05,6.40E+00,2.67E+00,5.08E-02,1.92E+00,1.19E+07
1.79E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
5.21E+00,2.67E-01,8.84E-06,1.33E+02,3.66E+00,1.10E-01,1.42E+00,2.92E+07
1.70E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.14E+01,1.65E+00,3.91E-05,2.31E+00,2.31E+00,5.48E-02,2.36E+00,1.55E+07
3.16E+00,4.33E-03,8.51E-06,2.35E+01,2.51E+00,1.68E-01,2.03E+00,3.24E+06
6.15E+03,1.57E-06,1.98E-14,1.94E+06,1.20E+07,6.15E+20,8.53E+08,1.05E+05
7.66E+03,1.50E-12,2.65E-11,1.02E+02,6.53E+03,6.66E-09,9.15E+06,1.61E+18
2.74E+04,1.08E+00,3.90E-45,2.44E-27,2.34E+02,8.71E-18,9.42E+33,3.56E-10
2.78E+00,1.71E-01,1.46E-06,1.53E+02,2.55E+00,1.02E+00,2.63E+00,1.80E+07
1.22E+00,1.48E-01,1.62E-06,2.12E+01,4.04E+00,1.23E+00,2.17E+00,1.67E+07
1.95E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.78E+02,3.80E-03,8.41E-17,9.97E-03,4.28E-07,2.90E+14,6.05E-19,2.07E+17
4.44E+00,5.62E-03,2.74E-06,6.33E+01,2.90E+00,5.16E-01,1.32E+00,5.83E+06
6.91E+02,2.55E-19,2.69E-46,1.24E+38,9.02E-04,9.67E+21,3.40E+10,1.94E+44
2.14E+00,9.72E-02,1.73E-06,4.47E+01,1.96E+00,1.11E+00,4.06E+00,1.47E+07
8.91E+00,9.72E-02,4.85E-05,5.75E+00,2.25E+00,2.06E-02,1.56E+00,1.85E+07
2.24E+00,2.21E-01,1.72E-06,2.50E+02,3.39E+00,6.31E-01,1.57E+00,2.83E+07
1.58E+00,3.40E-02,7.53E-07,4.37E+01,2.83E+01,1.60E+01,2.47E+00,1.71E+07
2.44E+00,1.94E-02,7.24E-07,1.85E+03,2.63E+00,2.71E+00,3.04E+00,3.86E+07
1.66E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.58E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.55E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.40E+00,5.59E-03,2.25E-06,4.39E+01,4.57E+00,1.74E+00,4.91E+00,4.63E+06
1.97E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.13E+00,1.32E-01,6.37E-07,2.82E+02,3.89E+00,3.15E+00,2.53E+00,2.02E+07
2.13E+00,9.07E-02,7.38E-07,3.83E+00,4.93E+00,2.18E+01,1.48E+01,1.09E+07
2.35E+00,4.01E-02,2.33E-06,2.87E+02,3.11E+00,1.02E+00,3.91E+00,1.51E+07
7.56E+01,5.16E-246,0.00E+00,5.98E-119,0.00E+00,3.11E+71,1.55E-03,2.05E-30
1.61E+00,1.06E-01,2.62E-06,2.26E+02,8.76E+00,1.19E+00,1.93E+00,2.22E+07
2.78E+00,2.20E-03,1.29E-06,9.14E+01,1.69E+00,5.40E+00,1.78E+01,4.20E+06
4.53E+00,5.15E-02,9.91E-06,1.18E+02,2.45E+00,1.16E-01,2.11E+00,7.42E+07
2.40E+00,1.59E-01,1.84E-06,3.49E+02,2.42E+00,7.18E-01,2.78E+00,2.51E+07
1.65E+00,7.09E-02,3.98E-06,1.80E+02,4.64E+00,4.76E-01,1.94E+00,1.51E+07
1.69E+00,1.42E-01,3.49E-06,1.84E+02,5.37E+00,6.18E-01,1.95E+00,1.83E+07
1.87E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.47E+03,1.67E-10,5.18E+27,2.64E+52,8.83E-14,1.02E+36,2.51E+03,3.68E+48
7.72E+01,3.53E-59,2.62E-09,2.01E+03,6.89E-06,2.28E-02,3.23E-46,2.97E-46
2.03E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
9.22E-01,8.45E-02,1.05E-06,1.33E+02,5.22E+00,4.70E+00,5.64E+00,1.20E+07
2.02E+00,2.52E-01,1.65E-06,1.24E+02,2.89E+00,4.49E-01,1.87E+00,4.54E+07
4.81E+03,1.75E-08,2.84E-09,2.89E+06,1.84E+02,2.13E-03,3.12E+05,2.19E+15
2.03E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.06E-01,1.82E-01,1.54E-06,5.50E+01,3.16E+00,9.26E-01,2.16E+00,1.99E+07
1.54E+00,2.57E-04,1.21E-06,7.44E+01,1.75E+01,5.52E+00,1.81E+00,4.30E+06
1.25E+05,4.35E-44,1.94E-59,3.35E-31,6.96E-06,3.41E-53,4.22E+10,7.82E-23
1.71E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
7.62E+00,2.90E-02,8.47E-06,2.67E+02,3.72E+00,2.01E-01,2.22E+00,8.74E+06
1.91E+00,2.49E-02,5.90E-07,9.40E+01,1.99E+01,1.91E+01,3.53E+00,1.16E+07
1.44E+00,8.97E-02,1.11E-06,7.00E+00,5.77E+00,6.36E+00,5.80E+00,9.95E+06
1.29E+05,8.42E-24,9.70E-08,4.50E+12,9.00E+15,1.24E+33,1.48E+24,9.15E-07
1.24E+00,1.99E-02,1.50E-06,5.80E+01,3.46E+00,1.44E+00,2.43E+00,5.77E+06
3.85E+00,7.71E-02,1.50E-06,1.33E+02,3.29E+00,8.73E-01,1.40E+00,2.86E+07
1.15E+03,2.92E-53,5.60E-25,5.40E+03,1.65E+18,5.61E+38,7.98E+07,4.11E+33
8.54E+03,7.42E-12,1.06E-17,2.68E+04,1.41E+06,7.28E+16,2.33E+06,1.72E+12
4.90E+00,2.82E-01,1.12E-05,8.42E+01,6.07E+00,1.11E-01,1.34E+00,4.53E+07
1.24E+00,4.76E-02,2.46E-06,1.34E+02,6.13E+00,1.02E+00,1.55E+00,9.17E+06
2.89E+00,4.59E-02,2.71E-06,2.63E+02,7.13E+00,1.15E+00,2.55E+00,2.06E+07
2.16E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.20E+00,7.37E-02,5.86E-06,4.54E+01,3.12E+00,3.05E-01,2.15E+00,8.47E+06
4.19E+00,1.49E-02,2.38E-06,3.95E+02,1.70E+00,5.46E-01,2.56E+00,4.13E+07
1.05E+04,6.96E-51,1.56E+10,1.90E+05,2.63E+40,3.34E+12,2.57E+14,1.84E-22
2.67E+00,1.98E-01,8.07E-06,2.49E+01,2.76E+00,9.03E-02,1.30E+00,2.89E+07
6.98E+01,0.00E+00,0.00E+00,3.88E-261,0.00E+00,1.81E-50,1.33E-04,3.44E+43
1.80E+03,1.50E-17,1.81E+25,9.33E+54,1.62E-06,6.70E+32,9.46E+08,2.93E+48
3.12E+00,3.90E-02,1.03E-05,1.52E+02,2.87E+00,1.16E-01,1.50E+00,1.12E+07
2.12E+00,3.74E-02,3.54E-06,3.84E+01,2.65E+00,9.95E-01,6.71E+00,8.03E+06
1.71E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.87E+00,3.08E-02,9.50E-07,9.79E+01,5.28E+00,3.73E+00,3.43E+00,8.28E+06
2.16E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
5.17E+00,1.04E-01,4.43E-06,9.09E+01,3.43E+00,3.98E-01,2.24E+00,1.80E+07
1.32E+00,4.31E-02,1.06E-06,1.80E+02,2.78E+00,1.59E+00,2.95E+00,3.90E+07
3.34E+01,5.51E-02,2.82E-06,2.49E+02,3.58E+00,1.20E+00,3.64E+00,1.34E+07
2.28E+00,9.91E-02,2.29E-06,2.34E+02,4.66E+00,1.17E+00,2.74E+00,1.24E+07
3.88E+00,2.58E-01,2.87E-06,1.30E+02,3.28E+00,3.54E-01,1.68E+00,2.92E+07
1.15E+00,5.10E-02,1.17E-06,1.64E+01,3.51E+00,3.29E+00,3.87E+00,4.40E+06
1.95E+00,7.12E-02,1.07E-06,2.96E+02,6.41E+00,2.74E+00,2.35E+00,1.85E+07
2.02E+00,1.46E-01,4.93E-07,2.23E+02,2.93E+00,3.53E+00,2.70E+00,2.40E+07
1.88E+00,1.76E-02,4.53E-07,1.21E+02,4.78E+00,6.83E+00,3.27E+00,1.54E+07
4.97E+00,9.83E-02,1.45E-05,3.07E+01,3.94E+00,9.77E-02,1.68E+00,1.74E+07
1.91E+00,3.96E-02,2.58E-06,6.96E+01,1.25E+01,2.09E+00,1.88E+00,8.02E+06
3.63E+00,1.56E-01,1.55E-06,2.85E+02,2.70E+00,1.33E+00,5.28E+00,2.79E+07
3.01E+00,1.73E-01,6.09E-06,1.33E+02,2.53E+00,1.95E-01,2.25E+00,1.84E+07
2.23E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.77E+00,6.53E-03,7.78E-07,2.10E+02,1.28E+01,9.94E+00,3.96E+00,1.25E+07
1.43E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.84E+00,9.93E-02,4.42E-06,1.20E+02,2.57E+00,4.25E-01,2.73E+00,8.88E+06
3.06E+00,6.57E-02,3.17E-06,2.00E+02,2.23E+00,5.95E-01,3.65E+00,1.32E+07
4.58E+03,1.05E-05,1.69E+14,1.70E+24,1.22E-07,7.04E+16,3.63E+00,7.84E+27
1.28E+05,2.57E-75,1.21E-10,3.08E+18,9.25E+10,2.16E+16,9.33E+22,2.74E+02
2.29E+00,8.94E-02,1.23E-06,6.61E+01,1.61E+00,1.86E+00,5.23E+00,1.37E+07
5.09E+01,3.29E-109,6.67E-35,3.91E-08,1.97E-143,2.99E+33,1.05E-105,2.15E-69
1.53E+00,7.24E-02,2.08E-06,3.82E+02,5.61E+00,9.76E-01,1.44E+00,1.74E+07
3.01E+00,3.74E-02,4.01E-06,5.15E+02,3.45E+00,4.43E-01,2.00E+00,1.20E+07
2.27E+00,5.21E-03,1.15E-06,6.26E+02,3.24E+00,2.33E+00,4.24E+00,2.72E+07
1.64E+00,4.74E-03,1.21E-06,1.94E+01,1.54E+02,6.34E+01,2.89E+00,2.58E+06
2.80E+00,1.27E-01,7.13E-07,4.30E+02,3.41E+00,3.72E+00,4.54E+00,2.20E+07
1.84E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.56E+00,5.81E-02,1.60E-06,1.40E+02,3.67E+00,1.46E+00,3.47E+00,1.88E+07
1.90E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.72E+01,8.41E-01,4.34E-04,4.71E+00,4.00E+00,1.03E-02,2.80E+00,5.88E+06
1.91E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.95E+02,2.60E-12,8.58E-08,2.40E+06,6.71E+00,5.74E+05,1.55E+04,8.83E-05
3.06E+03,8.65E+01,8.00E-12,2.19E+07,6.28E+10,2.10E-09,3.42E+12,1.97E+03
2.18E+00,2.86E-02,2.07E-06,1.75E+02,4.68E+00,1.18E+00,2.46E+00,1.27E+07
1.77E+00,3.89E-02,1.90E-06,3.68E+01,6.86E+00,2.78E+00,3.88E+00,5.51E+06
1.67E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
4.62E+00,3.20E-01,2.07E-06,3.11E+01,2.47E+00,3.76E-01,2.20E+00,4.21E+07
1.86E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.69E+00,5.45E-03,1.66E-06,2.65E+01,3.21E+00,1.24E+00,2.30E+00,1.73E+07
1.28E+00,5.92E-02,1.29E-06,2.65E+02,4.24E+00,2.81E+00,5.46E+00,1.68E+07
1.30E+00,4.29E-04,9.53E-07,1.61E+02,3.15E+00,4.68E+00,7.38E+00,3.66E+07
4.19E+00,2.83E-01,1.44E-06,4.60E+02,2.20E+00,5.25E-01,2.18E+00,3.81E+07
7.75E+02,1.85E+00,9.63E-06,2.73E+02,4.77E+02,8.42E-04,9.19E+02,1.31E+06
1.74E+00,8.92E-02,8.86E-07,1.32E+02,2.02E+00,4.78E+00,1.09E+01,2.14E+07
2.07E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
5.62E+00,2.43E-25,1.42E-66,7.97E+02,1.16E+70,5.09E-53,1.59E+35,5.13E-62
6.41E+00,6.00E-01,5.14E-05,3.30E+00,1.72E+00,7.87E-03,1.13E+00,3.55E+07
4.12E+00,1.63E-01,8.11E-06,1.56E+02,7.38E+00,2.32E-01,1.27E+00,3.03E+07
2.58E+04,1.32E-03,1.73E-13,1.88E+07,1.38E+10,2.07E-09,1.29E+12,2.94E+04
1.84E+00,2.73E-02,1.18E-06,2.55E+02,2.91E+00,1.05E+01,2.19E+01,4.63E+06
1.56E+00,8.83E-02,1.57E-06,5.70E+01,2.66E+00,1.61E+00,3.54E+00,8.37E+06
2.68E+00,2.09E-01,1.83E-06,1.04E+02,2.05E+00,7.02E-01,2.44E+00,1.81E+07
3.65E+00,1.63E-01,1.22E-06,1.74E+02,3.46E+00,1.37E+00,2.80E+00,2.30E+07
2.32E+02,5.96E-30,7.62E+03,1.54E+08,1.74E+09,6.28E+10,1.61E+12,7.76E+20
7.67E+00,5.23E-01,8.92E-05,2.04E+00,2.65E+00,9.51E-03,1.34E+00,2.68E+07
1.86E+00,1.61E-03,1.18E-06,8.46E+01,2.96E+00,6.73E+00,1.51E+01,7.70E+06
2.95E+00,2.07E-02,3.07E-06,1.73E+02,1.90E+00,5.60E-01,3.66E+00,4.03E+07
1.98E+01,1.06E-01,3.96E-06,1.84E+02,1.76E+00,2.57E-01,2.28E+00,4.61E+07
1.81E+00,5.89E-03,1.57E-06,2.15E+02,2.25E+00,9.22E-01,1.90E+00,2.61E+06
7.66E+02,1.90E+00,7.63E-05,7.06E+02,4.07E+02,1.51E-03,1.15E+03,1.97E+06
1.83E+00,1.40E-03,3.63E-07,1.10E+02,8.07E+00,1.26E+01,3.08E+00,8.26E+06
1.35E+00,1.17E-01,2.39E-06,9.38E+01,3.79E+00,7.59E-01,2.41E+00,1.80E+07
6.25E+00,1.85E-01,2.06E-06,1.23E+02,2.25E+00,3.60E-01,1.44E+00,4.60E+07
1.92E+00,1.68E-01,9.15E-07,1.30E+02,2.13E+00,1.42E+00,2.79E+00,2.18E+07
5.11E+00,1.06E-01,2.34E-06,9.27E+02,2.33E+00,3.55E+00,1.94E+01,1.01E+07
1.44E+00,6.04E-02,9.33E-07,1.33E+01,4.09E+00,4.80E+00,4.37E+00,6.10E+06
1.74E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.09E+04,1.74E-32,1.64E-44,9.50E-09,1.25E+04,3.85E-22,5.25E+26,8.40E-06
4.61E+00,2.68E-02,5.59E-07,2.21E+02,2.85E+00,4.69E+00,4.66E+00,7.18E+07
2.13E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.47E+00,8.70E-02,1.12E-06,6.96E+00,6.59E+00,3.38E+00,2.73E+00,1.67E+07
1.83E+00,6.11E-02,3.88E-06,8.55E+01,2.47E+00,5.44E-01,4.02E+00,1.11E+07
2.09E+00,1.30E-01,5.01E-07,3.75E+02,3.18E+00,4.23E+00,4.10E+00,2.66E+07
8.68E-01,1.04E-01,2.15E-06,2.33E+02,5.65E+00,9.49E-01,1.47E+00,1.63E+07
6.63E-01,9.89E-02,1.58E-06,2.16E+02,2.26E+00,1.10E+00,4.54E+00,2.77E+07
1.43E+00,2.18E-02,9.00E-07,1.29E+02,3.89E+00,2.63E+00,2.55E+00,8.03E+06
3.83E+00,9.99E-02,2.12E-06,2.28E+02,2.08E+00,4.95E-01,2.30E+00,6.74E+07
2.05E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.46E+00,8.53E-02,1.28E-06,3.44E+01,5.73E+00,2.07E+00,2.10E+00,1.44E+07
1.51E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.45E+00,8.39E-02,4.75E-06,3.23E+02,4.66E+00,4.04E-01,2.43E+00,2.37E+07
1.94E+03,1.29E-07,1.86E+34,2.92E+55,2.70E-07,6.66E+32,5.77E+10,2.86E+42
1.87E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.25E+00,2.94E-02,1.02E-06,1.23E+02,1.15E+01,6.47E+00,2.65E+00,4.22E+06
1.34E+00,3.62E-02,2.46E-06,3.60E+02,5.90E+00,1.24E+00,2.98E+00,1.71E+07
2.04E+00,6.44E-02,2.12E-06,1.24E+02,2.52E+00,1.24E+00,4.83E+00,1.13E+07
1.63E+03,4.28E-01,1.32E-60,1.75E+00,3.15E+38,2.32E-47,7.22E+26,1.01E+02
2.02E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
9.23E-01,1.77E-01,2.63E-06,1.13E+02,2.63E+00,4.46E-01,1.88E+00,1.81E+07
1.49E+01,5.15E-01,2.80E-04,1.23E+00,2.23E+00,7.99E-03,1.19E+00,6.49E+06
1.09E+00,8.89E-02,1.22E-06,6.13E+01,2.17E+00,1.24E+00,3.05E+00,2.37E+07
inf,1.68E-22,2.15E+14,6.35E+00,2.76E-25,8.46E-04,2.38E-22,1.29E+11
2.01E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.26E+00,1.04E-01,5.71E-07,1.99E+01,2.69E+00,8.27E+00,9.16E+00,1.60E+07
1.30E+00,2.50E-02,8.87E-07,2.22E+01,9.49E+00,6.22E+00,3.55E+00,5.35E+07
2.46E+00,2.44E-01,5.02E-06,1.27E+02,3.45E+00,1.80E-01,1.66E+00,4.71E+07
1.61E+00,5.07E-02,1.06E-06,1.84E+02,1.15E+01,4.53E+00,2.60E+00,2.50E+07
4.20E+03,2.77E-19,7.63E-15,2.92E+19,8.21E+04,5.48E+13,9.11E+03,4.34E-02
2.43E+05,1.63E-57,6.74E-58,3.10E+05,4.08E+08,4.65E-59,2.11E+33,1.65E-27
1.58E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.68E+03,1.10E-05,2.52E+31,1.51E+56,1.37E-07,2.04E+33,8.87E+09,1.66E+44
6.62E-01,2.29E-02,1.90E-06,5.80E+01,3.02E+00,3.79E+00,1.46E+01,1.31E+07
1.86E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.74E+03,3.95E-25,2.27E-37,4.04E+39,3.72E+08,4.10E+38,5.27E+13,9.10E+15
9.86E+02,5.13E-07,1.96E-10,3.33E+04,9.81E-02,1.47E+02,6.01E+04,3.39E+09
2.02E+00,5.29E-03,6.45E-07,1.25E+05,2.90E+00,4.88E+00,4.15E+00,1.11E+06
7.84E+01,1.61E-82,5.54E-147,4.13E-101,2.24E-105,1.84E-57,1.56E-04,1.22E-22
1.92E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.63E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.81E+00,9.61E-02,1.00E-06,6.43E+02,2.44E+00,1.82E+00,2.89E+00,1.34E+07
1.60E+01,4.89E-01,2.25E-04,1.28E+00,2.13E+00,8.49E-03,1.47E+00,8.08E+06
1.90E+00,3.25E-02,1.07E-06,5.99E+01,1.74E+00,5.74E+00,1.40E+01,8.84E+06
1.16E+00,1.04E-01,1.15E-06,1.28E+02,2.87E+00,1.47E+00,2.59E+00,1.55E+07
2.90E+03,2.01E-08,1.38E-08,2.73E+05,4.84E+01,1.63E-02,1.53E+04,1.90E+13
2.32E+05,1.30E-39,4.01E-71,3.05E-37,8.14E-03,3.82E-68,8.31E+22,7.72E-20
8.50E+00,1.42E-01,6.28E-05,4.84E+00,1.49E+00,1.34E-02,1.61E+00,1.49E+07
2.42E+00,7.24E-02,3.41E-06,5.43E+02,1.13E+01,1.01E+00,1.51E+00,3.51E+07
1.59E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
4.99E+03,3.61E+02,6.61E-10,3.59E+09,2.65E+10,5.20E-08,1.47E+13,5.45E+04
2.24E+00,1.80E-01,1.99E-06,1.41E+02,3.77E+00,7.28E-01,1.82E+00,2.12E+07
1.68E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.15E+03,7.36E-06,1.96E+19,1.22E+03,1.04E-24,3.22E+24,7.04E-19,5.56E+05
