SSR, lamb, beta, k, delta, p, c, K
1.35E+01,2.27E-01,5.59E-07,2.59E+02,3.08E+00,1.20E+01,9.15E+00,5.03E+06
8.09E+00,2.09E-01,4.79E-05,6.40E+00,2.63E+00,1.78E-02,1.12E+00,1.64E+07
1.67E+00,7.28E-02,9.76E-07,2.02E+02,7.34E+00,3.09E+00,2.06E+00,1.91E+07
1.80E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.15E+03,3.16E+28,2.19E-119,1.79E+120,1.62E+172,7.39E-109,5.57E+206,1.82E-58
1.88E+00,2.94E-02,2.47E-06,2.25E+02,2.16E+00,1.85E+00,1.02E+01,7.31E+06
3.52E+00,2.82E-02,4.88E-06,3.27E+02,3.21E+00,4.58E-01,3.58E+00,1.54E+07
1.54E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.81E+04,8.49E-32,4.97E-13,2.67E-06,5.75E+20,3.81E-06,3.35E+23,5.27E+15
1.41E+00,3.42E-02,6.30E-07,2.62E+01,6.01E+00,7.49E+00,4.74E+00,1.76E+07
2.30E+00,3.87E-02,4.65E-06,2.98E+02,2.55E+00,2.63E-01,2.17E+00,6.77E+07
2.71E+00,1.96E-01,1.28E-06,2.14E+02,4.20E+00,1.20E+00,2.02E+00,2.55E+07
4.10E+00,1.19E-01,6.69E-06,1.47E+02,4.36E+00,2.18E-01,1.62E+00,2.07E+07
2.01E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.87E+00,1.47E-02,3.64E-06,2.82E+02,4.53E+00,8.69E-01,3.88E+00,6.06E+06
5.08E+00,7.96E-02,6.45E-06,1.61E+01,2.12E+00,1.51E-01,1.55E+00,2.43E+07
6.35E+00,1.39E-01,9.20E-06,2.91E+01,1.84E+00,9.02E-02,1.92E+00,3.25E+07
1.68E+03,7.82E-04,8.39E+31,8.88E+57,1.84E-06,2.43E+31,7.21E+13,7.49E+41
2.94E+00,1.46E-01,2.86E-06,1.62E+02,4.58E+00,5.67E-01,1.76E+00,2.48E+07
3.46E+00,3.87E-02,4.30E-06,2.69E+02,2.56E+00,3.10E-01,2.18E+00,4.01E+07
1.60E+00,1.15E-01,9.33E-07,3.63E+01,5.37E+00,2.88E+00,3.13E+00,2.54E+07
6.65E-01,1.27E-01,8.62E-07,1.35E+02,4.72E+00,3.46E+00,4.10E+00,2.30E+07
1.56E+00,2.66E-02,4.55E-07,1.39E+02,3.24E+00,1.29E+01,9.79E+00,9.05E+06
1.28E+00,6.95E-02,7.20E-07,2.93E+01,5.32E+00,6.79E+00,5.19E+00,1.09E+07
2.34E+00,2.41E-01,7.27E-07,1.41E+02,2.35E+00,1.58E+00,3.27E+00,3.80E+07
4.40E+00,4.30E-01,3.88E-05,6.74E+00,4.27E+00,2.01E-02,1.09E+00,3.98E+07
2.68E+00,1.11E-02,7.89E-07,1.99E+03,3.64E+00,3.06E+00,3.17E+00,2.53E+07
1.76E+00,3.07E-02,7.90E-07,9.41E+01,2.19E+00,9.04E+00,1.46E+01,6.91E+06
8.41E-01,1.49E-01,1.38E-06,3.32E+01,4.38E+00,1.63E+00,2.49E+00,1.68E+07
2.16E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.53E+00,4.14E-01,3.05E-06,1.09E+02,2.20E+00,1.57E-01,1.57E+00,5.23E+07
1.22E+01,1.93E+00,1.54E-04,1.98E+00,1.80E+00,1.58E-02,2.35E+00,1.14E+07
6.25E-01,1.05E-01,6.32E-07,2.45E+01,1.03E+01,9.37E+00,3.80E+00,2.22E+07
1.99E+00,3.18E-02,7.89E-07,3.69E+02,2.33E+00,9.32E+00,1.60E+01,9.27E+06
1.32E+00,6.15E-02,7.30E-07,1.54E+02,3.41E+00,4.31E+00,4.46E+00,9.84E+06
1.77E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
6.80E+00,1.44E-01,3.57E-05,1.36E+02,9.51E+00,4.97E-02,9.71E-01,2.89E+07
3.09E+00,1.09E-01,6.51E-07,2.79E+02,2.99E+00,2.97E+00,4.05E+00,3.09E+07
1.94E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.34E+00,3.08E-04,4.43E-06,1.59E+02,2.49E+00,3.50E-01,2.58E+00,2.77E+07
inf,8.69E-16,4.73E+32,6.04E-03,3.35E-63,4.18E+46,1.23E-54,7.07E+21
1.96E+00,1.08E-02,5.60E-06,2.30E+02,3.95E+00,2.90E-01,1.67E+00,2.32E+07
