lamb, beta, k, delta, p, c, K
-2.139670222200448446e+00,-7.600816861436350713e+00,1.417812719669370392e+00,1.719777178580196741e+00,3.938437869008995840e+00,1.160588155499700624e+00,7.644631480000000447e+05
-2.139670222200448446e+00,-7.600816861436350713e+00,1.417812719669370392e+00,1.719777178580196741e+00,3.938437869008995840e+00,1.160588155499700624e+00,7.644631480000000447e+05
-2.139670222200448446e+00,-7.600816861436350713e+00,1.417812719669370392e+00,1.719777178580196741e+00,3.938437869008995840e+00,1.160588155499700624e+00,7.644631480000000447e+05
-2.139670222200448446e+00,-7.600816861436350713e+00,1.417812719669370392e+00,1.719777178580196741e+00,3.938437869008995840e+00,1.160588155499700624e+00,7.644631480000000447e+05
-2.139670222200448446e+00,-7.600816861436350713e+00,1.417812719669370392e+00,1.719777178580196741e+00,3.938437869008995840e+00,1.160588155499700624e+00,7.644631480000000447e+05
-2.139670222200448446e+00,-7.600816861436350713e+00,1.417812719669370392e+00,1.719777178580196741e+00,3.938437869008995840e+00,1.160588155499700624e+00,7.644631480000000447e+05
-2.139669995053770535e+00,-7.600816929620146212e+00,1.417812521046714513e+00,1.719776881150124836e+00,3.938437928928063769e+00,1.160588062205896831e+00,7.644631480000000447e+05
-2.139669995053770535e+00,-7.600816929620146212e+00,1.417812521046714513e+00,1.719776881150124836e+00,3.938437928928063769e+00,1.160588062205896831e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139670289541375503e+00,-7.600817894393127716e+00,1.417811795346007875e+00,1.719775636748891223e+00,3.938438253664726663e+00,1.160586426918526426e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139669370435652418e+00,-7.600817766202786707e+00,1.417814666004644453e+00,1.719776999589875288e+00,3.938439159774977050e+00,1.160585709214608352e+00,7.644631480000000447e+05
-2.139667670031352831e+00,-7.600817603433156044e+00,1.417816653589385023e+00,1.719774795240469834e+00,3.938440217220448680e+00,1.160582645466024188e+00,7.644631480000000447e+05
-2.139667660274594319e+00,-7.600817592025371106e+00,1.417816619037135739e+00,1.719774760770482525e+00,3.938440188455550217e+00,1.160582647056760841e+00,7.644631480000000447e+05
-2.139667660274594319e+00,-7.600817592025371106e+00,1.417816619037135739e+00,1.719774760770482525e+00,3.938440188455550217e+00,1.160582647056760841e+00,7.644631480000000447e+05
-2.139667660274594319e+00,-7.600817592025371106e+00,1.417816619037135739e+00,1.719774760770482525e+00,3.938440188455550217e+00,1.160582647056760841e+00,7.644631480000000447e+05
-2.139669840290077563e+00,-7.600833396888105220e+00,1.417787147172051343e+00,1.719746302881874245e+00,3.938411990563970733e+00,1.160608923439060192e+00,7.644631480000000447e+05
-2.139669840290077563e+00,-7.600833396888105220e+00,1.417787147172051343e+00,1.719746302881874245e+00,3.938411990563970733e+00,1.160608923439060192e+00,7.644631480000000447e+05
-2.139669777723019806e+00,-7.600831180682914301e+00,1.417790550853260445e+00,1.719750394779184788e+00,3.938414854355761996e+00,1.160607424356271400e+00,7.644631480000000447e+05
-2.139665852641059463e+00,-7.600821500305451117e+00,1.417806779586074706e+00,1.719768966869517524e+00,3.938432601640125430e+00,1.160593986738154282e+00,7.644631480000000447e+05
-2.139665852641059463e+00,-7.600821500305451117e+00,1.417806779586074706e+00,1.719768966869517524e+00,3.938432601640125430e+00,1.160593986738154282e+00,7.644631480000000447e+05
-2.139663798990420585e+00,-7.600823300114140757e+00,1.417808954767660445e+00,1.719762439820099909e+00,3.938431485164283874e+00,1.160595984330220487e+00,7.644631480000000447e+05
-2.139663798990420585e+00,-7.600823300114140757e+00,1.417808954767660445e+00,1.719762439820099909e+00,3.938431485164283874e+00,1.160595984330220487e+00,7.644631480000000447e+05
-2.139645662331950859e+00,-7.600827466613563566e+00,1.417805791746534760e+00,1.719740885130686125e+00,3.938418797961740214e+00,1.160611311309236227e+00,7.644631480000000447e+05
-2.139645662331950859e+00,-7.600827466613563566e+00,1.417805791746534760e+00,1.719740885130686125e+00,3.938418797961740214e+00,1.160611311309236227e+00,7.644631480000000447e+05
-2.139657239179135750e+00,-7.600842275634610345e+00,1.417805412462597836e+00,1.719740469952720785e+00,3.938431534819633484e+00,1.160610111669402533e+00,7.644631480000000447e+05
-2.139657239179135750e+00,-7.600842275634610345e+00,1.417805412462597836e+00,1.719740469952720785e+00,3.938431534819633484e+00,1.160610111669402533e+00,7.644631480000000447e+05
-2.139643330850713010e+00,-7.600824484199252495e+00,1.417805868131181368e+00,1.719740968744093212e+00,3.938416232863943822e+00,1.160611552906773092e+00,7.644631480000000447e+05
-2.139643330850713010e+00,-7.600824484199252495e+00,1.417805868131181368e+00,1.719740968744093212e+00,3.938416232863943822e+00,1.160611552906773092e+00,7.644631480000000447e+05
-2.139643330850713010e+00,-7.600824484199252495e+00,1.417805868131181368e+00,1.719740968744093212e+00,3.938416232863943822e+00,1.160611552906773092e+00,7.644631480000000447e+05
-2.139643330850713010e+00,-7.600824484199252495e+00,1.417805868131181368e+00,1.719740968744093212e+00,3.938416232863943822e+00,1.160611552906773092e+00,7.644631480000000447e+05
-2.139643330850713010e+00,-7.600824484199252495e+00,1.417805868131181368e+00,1.719740968744093212e+00,3.938416232863943822e+00,1.160611552906773092e+00,7.644631480000000447e+05
-2.139591407012046531e+00,-7.600754518712039776e+00,1.417802009631452975e+00,1.719742480356011516e+00,3.938350990586243050e+00,1.160618617063917668e+00,7.644631480000000447e+05
-2.139596104342083471e+00,-7.600758934784384913e+00,1.417800545416967539e+00,1.719741895650376717e+00,3.938353614738551833e+00,1.160618373817114746e+00,7.644631480000000447e+05
-2.139596104342083471e+00,-7.600758934784384913e+00,1.417800545416967539e+00,1.719741895650376717e+00,3.938353614738551833e+00,1.160618373817114746e+00,7.644631480000000447e+05
-2.139596104342083471e+00,-7.600758934784384913e+00,1.417800545416967539e+00,1.719741895650376717e+00,3.938353614738551833e+00,1.160618373817114746e+00,7.644631480000000447e+05
